종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,존재하는 테마9,존재하는 테마10,존재하는 테마11,존재하는 테마12,존재하는 테마13,존재하는 테마14,존재하는 테마15,차트링크
삼성전자,005930,+4.87%,4467567,28800154,거래대금,4467567,15,3D 낸드(NAND),CXL(컴퓨트익스프레스링크),HBM(고대역폭메모리),IT 대표주,NFT(대체불가토큰),RFID(NFC 등),고령화 사회(노인복지),뉴로모픽 반도체,마이크로 LED,반도체 대표주(생산),삼성페이,스마트홈(홈네트워크),시스템반도체,온디바이스 AI,코리아 밸류업 지수(Korea Value-up Index),https://kr.tradingview.com/symbols/KRX-005930/
NAVER,035420,+3.30%,1406248,4948006,거래대금,1406248,9,NFT(대체불가토큰),게임,모바일게임(스마트폰),모바일콘텐츠(스마트폰/태블릿PC),블록체인,스테이블코인,인터넷 대표주,클라우드 컴퓨팅,핀테크(FinTech),,,,,,,https://kr.tradingview.com/symbols/KRX-035420/
SK하이닉스,000660,+8.70%,4290177,5540032,거래대금,4290177,8,3D 낸드(NAND),CXL(컴퓨트익스프레스링크),HBM(고대역폭메모리),IT 대표주,반도체 대표주(생산),시스템반도체,온디바이스 AI,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,https://kr.tradingview.com/symbols/KRX-000660/
다날,064260,+0.61%,467218,45759839,거래대금,467218,8,NFT(대체불가토큰),STO(토큰증권 발행),모바일콘텐츠(스마트폰/태블릿PC),삼성페이,스테이블코인,전자결제(전자화폐),쿠팡(coupang),핀테크(FinTech),,,,,,,,https://kr.tradingview.com/symbols/KRX-064260/
카카오,035720,+0.65%,250284,4016704,거래대금,250284,7,NFT(대체불가토큰),두나무(Dunamu),모바일콘텐츠(스마트폰/태블릿PC),블록체인,인터넷 대표주,인터넷은행,핀테크(FinTech),,,,,,,,,https://kr.tradingview.com/symbols/KRX-035720/
SK텔레콤,017670,+12.30%,390262,5681997,거래대금,390262,5,블록체인,스마트홈(홈네트워크),코리아 밸류업 지수(Korea Value-up Index),클라우드 컴퓨팅,통신,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-017670/
LS ELECTRIC,010120,+7.19%,349828,651215,거래대금,349828,5,스마트그리드(지능형전력망),원자력발전,전력설비,전력저장장치(ESS),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-010120/
NHN KCP,060250,+12.71%,349422,14953222,거래대금,349422,5,삼성페이,스테이블코인,애플페이,전자결제(전자화폐),핀테크(FinTech),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-060250/
한미반도체,042700,+3.13%,277892,1620819,거래대금,277892,5,HBM(고대역폭메모리),반도체 장비,밸류업(25년 기업가치 제고계획 발표),시스템반도체,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-042700/
두산에너빌리티,034020,+1.96%,642700,6838698,거래대금,642700,4,수자원(양적/질적 개선),원자력발전,원자력발전소 해체,전력설비,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-034020/
하나마이크론,067310,+18.41%,419721,13238918,거래대금,419721,4,반도체 장비,반도체 재료/부품,밸류업(25년 기업가치 제고계획 발표),시스템반도체,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-067310/
효성중공업,298040,+1.83%,197806,84885,거래대금,197806,4,원자력발전,전력설비,전력저장장치(ESS),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-298040/
한전산업,130660,+20.21%,194132,12674490,거래대금,194132,4,스마트그리드(지능형전력망),원자력발전,전력설비,전력저장장치(ESS),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-130660/
KB금융,105560,+5.54%,164184,1159367,거래대금,164184,4,STO(토큰증권 발행),은행,인터넷은행,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-105560/
리노공업,058470,+10.62%,164139,2020852,거래대금,164139,4,반도체 장비,시스템반도체,온디바이스 AI,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-058470/
리가켐바이오,141080,+3.93%,162884,851791,거래대금,162884,4,면역항암제,슈퍼박테리아,코로나19(진단/치료제/백신 개발 등),코로나19(치료제/백신 개발 등),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-141080/
신한지주,055550,+4.49%,140805,1650498,거래대금,140805,4,STO(토큰증권 발행),밸류업(25년 기업가치 제고계획 발표),은행,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-055550/
한화투자증권,003530,+7.10%,136619,22343733,거래대금,136619,4,STO(토큰증권 발행),두나무(Dunamu),증권,토스(toss),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-003530/
LG전자,066570,-1.17%,113043,1125191,거래대금,113043,4,IT 대표주,마이크로 LED,스마트홈(홈네트워크),전력저장장치(ESS),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-066570/
우리기술,032820,+3.54%,358998,39576534,거래대금,358998,3,수자원(양적/질적 개선),원자력발전,원자력발전소 해체,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-032820/
카카오페이,377300,-2.96%,296912,4269240,거래대금,296912,3,스테이블코인,전자결제(전자화폐),핀테크(FinTech),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-377300/
한전기술,052690,+1.64%,277175,1917840,거래대금,277175,3,원자력발전,원자력발전소 해체,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-052690/
SK스퀘어,402340,+7.26%,272359,581298,거래대금,272359,3,RFID(NFC 등),모바일콘텐츠(스마트폰/태블릿PC),밸류업(25년 기업가치 제고계획 발표),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-402340/
미래에셋증권,006800,+4.50%,208594,6073300,거래대금,208594,3,스페이스X(SpaceX),증권,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-006800/
제우스,079370,+24.50%,190003,9880838,거래대금,190003,3,3D 낸드(NAND),HBM(고대역폭메모리),반도체 장비,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-079370/
HD현대일렉트릭,267260,+3.33%,153625,171752,거래대금,153625,3,전력설비,전력저장장치(ESS),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-267260/
비에이치아이,083650,+4.55%,148281,2039164,거래대금,148281,3,고체산화물 연료전지(SOFC),원자력발전,원자력발전소 해체,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-083650/
현대건설,000720,-0.28%,138686,1305240,거래대금,138686,3,밸류업(25년 기업가치 제고계획 발표),원자력발전,원자력발전소 해체,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000720/
LG에너지솔루션,373220,-1.80%,135299,330244,거래대금,135299,3,스페이스X(SpaceX),전력저장장치(ESS),폐배터리,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-373220/
HPSP,403870,+4.74%,117292,3142771,거래대금,117292,3,반도체 장비,온디바이스 AI,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-403870/
고영,098460,+0.95%,116453,3668754,거래대금,116453,3,HBM(고대역폭메모리),반도체 장비,시스템반도체,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-098460/
LG씨엔에스,064400,+0.42%,114708,1577627,거래대금,114708,3,SI(시스템통합),스테이블코인,클라우드 컴퓨팅,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-064400/
현대차,005380,-0.81%,2180753,4489673,거래대금,2180753,2,코리아 밸류업 지수(Korea Value-up Index),폐배터리,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-005380/
삼성SDI,006400,+0.13%,701295,1840696,거래대금,701295,2,IT 대표주,전력저장장치(ESS),,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-006400/
한국전력,015760,+0.17%,269862,4396303,거래대금,269862,2,원자력발전,전력설비,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-015760/
한화에어로스페이스,012450,-2.54%,190217,153250,거래대금,190217,2,밸류업(25년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-012450/
보성파워텍,006910,-0.49%,116725,13442548,거래대금,116725,2,원자력발전,전력설비,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-006910/
나노팀,417010,+19.07%,115410,11338149,거래대금,115410,2,스페이스X(SpaceX),전기차 화재 방지(배터리 열폭주 등),,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-417010/
원익IPS,240810,+7.28%,114007,1277804,거래대금,114007,2,3D 낸드(NAND),반도체 장비,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-240810/
한국항공우주,047810,-2.03%,112241,679922,거래대금,112241,2,밸류업(25년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-047810/
펩트론,087010,+2.50%,107946,374643,거래대금,107946,2,코로나19(진단/치료제/백신 개발 등),코로나19(치료제/백신 개발 등),,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-087010/
