종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,존재하는 테마9,존재하는 테마10,존재하는 테마11,존재하는 테마12,차트링크
삼성전자,005930,+3.47%,4369324,29551245,거래대금,4369324,12,3D 낸드(NAND),4차산업 수혜주,IT 대표주,뉴로모픽 반도체,무선충전기술,반도체 대표주(생산),스마트홈(홈네트워크),아이폰,자율주행차,제습기,코리아 밸류업 지수(Korea Value-up Index),플렉서블 디스플레이,https://kr.tradingview.com/symbols/KRX-005930/
LG전자,066570,+4.68%,463160,4653041,거래대금,463160,8,4차산업 수혜주,IT 대표주,무선충전기술,밸류업(24년 기업가치 제고계획 발표),스마트홈(홈네트워크),자율주행차,제습기,지능형로봇/인공지능(AI),,,,,https://kr.tradingview.com/symbols/KRX-066570/
SK하이닉스,000660,+0.93%,2694733,3572581,거래대금,2694733,7,3D 낸드(NAND),IT 대표주,반도체 대표주(생산),밸류업(24년 기업가치 제고계획 발표),아이폰,자율주행차,코리아 밸류업 지수(Korea Value-up Index),,,,,,https://kr.tradingview.com/symbols/KRX-000660/
두산에너빌리티,034020,+6.48%,1686992,17969737,거래대금,1686992,5,수자원(양적/질적 개선),원자력발전,원자력발전소 해체,전력설비,핵융합에너지,,,,,,,,https://kr.tradingview.com/symbols/KRX-034020/
포스코DX,022100,+8.67%,497684,11914240,거래대금,497684,5,4차산업 수혜주,스마트그리드(지능형전력망),스마트홈(홈네트워크),코리아 밸류업 지수(Korea Value-up Index),황사/미세먼지,,,,,,,,https://kr.tradingview.com/symbols/KRX-022100/
현대건설,000720,+4.40%,317449,3119756,거래대금,317449,5,GTX(수도권 광역급행철도),건설 대표주,밸류업(25년 기업가치 제고계획 발표),원자력발전,원자력발전소 해체,,,,,,,,https://kr.tradingview.com/symbols/KRX-000720/
현대차,005380,-2.13%,1081808,2589483,거래대금,1081808,4,밸류업(24년 기업가치 제고계획 발표),자율주행차,전기차(충전소/충전기),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,https://kr.tradingview.com/symbols/KRX-005380/
기아,000270,-0.92%,405458,2624747,거래대금,405458,4,밸류업(24년 기업가치 제고계획 발표),자율주행차,전기차(충전소/충전기),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,https://kr.tradingview.com/symbols/KRX-000270/
대한항공,003490,+5.65%,365529,14900485,거래대금,365529,4,밸류업(24년 기업가치 제고계획 발표),밸류업(25년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),항공/저가 항공사(LCC),,,,,,,,,https://kr.tradingview.com/symbols/KRX-003490/
현대약품,004310,+24.91%,341508,26485551,거래대금,341508,4,낙태/피임,제약업체,치매,탈모 치료,,,,,,,,,https://kr.tradingview.com/symbols/KRX-004310/
한전기술,052690,+11.73%,330885,2681388,거래대금,330885,4,밸류업(24년 기업가치 제고계획 발표),원자력발전,원자력발전소 해체,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,https://kr.tradingview.com/symbols/KRX-052690/
현대모비스,012330,-4.33%,283804,648235,거래대금,283804,4,밸류업(24년 기업가치 제고계획 발표),자동차부품,자율주행차,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,https://kr.tradingview.com/symbols/KRX-012330/
유진로봇,056080,+18.84%,283102,11043934,거래대금,283102,4,DMZ 평화공원,사물인터넷,자율주행차,지능형로봇/인공지능(AI),,,,,,,,,https://kr.tradingview.com/symbols/KRX-056080/
휴림로봇,090710,+14.68%,688667,53626475,거래대금,688667,3,3D 프린터,4차산업 수혜주,지능형로봇/인공지능(AI),,,,,,,,,,https://kr.tradingview.com/symbols/KRX-090710/
NAVER,035420,-0.81%,465454,1898586,거래대금,465454,3,4차산업 수혜주,웹툰,자율주행차,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-035420/
한화에어로스페이스,012450,+0.39%,289213,222973,거래대금,289213,3,밸류업(25년 기업가치 제고계획 발표),지능형로봇/인공지능(AI),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,https://kr.tradingview.com/symbols/KRX-012450/
우리기술,032820,+17.10%,283591,61591713,거래대금,283591,3,수자원(양적/질적 개선),원자력발전,원자력발전소 해체,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-032820/
HL만도,204320,+2.72%,271934,4165500,거래대금,271934,3,리비안(RIVIAN),자동차부품,자율주행차,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-204320/
미래에셋증권,006800,+1.46%,182347,5830979,거래대금,182347,3,밸류업(24년 기업가치 제고계획 발표),증권,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,https://kr.tradingview.com/symbols/KRX-006800/
