종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,존재하는 테마9,존재하는 테마10,존재하는 테마11,존재하는 테마12,존재하는 테마13,존재하는 테마14,존재하는 테마15,차트링크
삼성전자,005930,+1.87%,4789924,31014713,거래대금,4789924,15,CXL(컴퓨트익스프레스링크),HBM(고대역폭메모리),IT 대표주,OLED(유기 발광 다이오드),RFID(NFC 등),갤럭시 부품주,뉴로모픽 반도체,마이크로 LED,무선충전기술,반도체 대표주(생산),스마트폰,아이폰,의료기기,폴더블폰,플렉서블 디스플레이,https://kr.tradingview.com/symbols/KRX-005930/
삼성SDI,006400,+18.67%,2141924,5826186,거래대금,2141924,11,2차전지,2차전지(나트륨이온),2차전지(생산),2차전지(전고체),IT 대표주,리비안(RIVIAN),스마트폰,아이폰,전기자전거,전기차,전력저장장치(ESS),,,,,https://kr.tradingview.com/symbols/KRX-006400/
LG화학,051910,+5.89%,203590,584229,거래대금,203590,11,2차전지,2차전지(소재/부품),OLED(유기 발광 다이오드),리튬,바이오시밀러(복제 바이오의약품),비만치료제,석유화학,아이폰,전기차,탄소나노튜브(CNT),폴더블폰,,,,,https://kr.tradingview.com/symbols/KRX-051910/
LG에너지솔루션,373220,+5.70%,280912,679983,거래대금,280912,9,2차전지,2차전지(LFP/리튬인산철),2차전지(나트륨이온),2차전지(생산),2차전지(전고체),리튬,전기차,전력저장장치(ESS),폐배터리,,,,,,,https://kr.tradingview.com/symbols/KRX-373220/
삼성전기,009150,+1.07%,135118,475584,거래대금,135118,7,2차전지(전고체),MLCC(적층세라믹콘덴서),PCB(FPCB 등),갤럭시 부품주,아이폰,유리 기판,폴더블폰,,,,,,,,,https://kr.tradingview.com/symbols/KRX-009150/
씨아이에스,222080,+29.96%,127007,14689532,거래대금,127007,7,2차전지,2차전지(LFP/리튬인산철),2차전지(장비),2차전지(전고체),리비안(RIVIAN),전기차,전력저장장치(ESS),,,,,,,,,https://kr.tradingview.com/symbols/KRX-222080/
에코프로,086520,+10.41%,704370,6816322,거래대금,704370,6,2차전지,2차전지(나트륨이온),2차전지(소재/부품),리튬,온실가스(탄소배출권)/탄소 포집·활용·저장(CCUS),폐배터리,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-086520/
LG전자,066570,-2.84%,184972,1726661,거래대금,184972,6,IT 대표주,OLED(유기 발광 다이오드),마이크로 LED,무선충전기술,전기차,전력저장장치(ESS),,,,,,,,,,https://kr.tradingview.com/symbols/KRX-066570/
SK하이닉스,000660,+2.03%,2667972,3503482,거래대금,2667972,5,CXL(컴퓨트익스프레스링크),HBM(고대역폭메모리),IT 대표주,반도체 대표주(생산),아이폰,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000660/
POSCO홀딩스,005490,+2.42%,539492,1498567,거래대금,539492,5,2차전지,2차전지(소재/부품),리튬,폐배터리,희귀금속(희토류 등),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-005490/
강원에너지,114190,+28.20%,119998,7316261,거래대금,119998,5,2차전지,2차전지(소재/부품),2차전지(장비),리튬,전기차,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-114190/
그린광학,000150,-6.92%,360175,5987962,거래대금,360175,4,2025 하반기 신규상장,OLED(유기 발광 다이오드),반도체 재료/부품,화장품,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000150/
엘앤에프,066970,+12.81%,168709,1378652,거래대금,168709,4,2차전지,2차전지(LFP/리튬인산철),2차전지(소재/부품),전기차,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-066970/
파마리서치,214450,+6.54%,165857,362893,거래대금,165857,4,미용기기,보톡스(보툴리눔톡신),의료기기,화장품,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-214450/
