종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,존재하는 테마9,존재하는 테마10,존재하는 테마11,존재하는 테마12,존재하는 테마13,존재하는 테마14,존재하는 테마15,존재하는 테마16,존재하는 테마17,존재하는 테마18,존재하는 테마19,차트링크
삼성전자,005930,+4.92%,4169899,24964732,거래대금,4169899,19,5G(5세대 이동통신),CXL(컴퓨트익스프레스링크),HBM(고대역폭메모리),IT 대표주,LED,OLED(유기 발광 다이오드),가상현실(VR),갤럭시 부품주,공기청정기,뉴로모픽 반도체,무선충전기술,시스템반도체,아이폰,온디바이스 AI,자율주행차,코리아 밸류업 지수(Korea Value-up Index),폴더블폰,플렉서블 디스플레이,피지컬 AI/휴머노이드 로봇,https://kr.tradingview.com/symbols/KRX-005930/
SK하이닉스,000660,+5.72%,3746145,4228584,거래대금,3746145,9,CXL(컴퓨트익스프레스링크),HBM(고대역폭메모리),IT 대표주,밸류업(24년 기업가치 제고계획 발표),시스템반도체,아이폰,온디바이스 AI,자율주행차,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000660/
삼성전기,009150,+7.04%,205546,685190,거래대금,205546,9,2차전지(전고체),MLCC(적층세라믹콘덴서),PCB(FPCB 등),갤럭시 부품주,아이폰,온디바이스 AI,유리 기판,자율주행차,폴더블폰,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-009150/
삼성SDI,006400,+2.70%,181247,477549,거래대금,181247,6,2차전지,2차전지(전고체),IT 대표주,아이폰,전기자전거,전력저장장치(ESS),,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-006400/
LS ELECTRIC,010120,+8.57%,162910,253376,거래대금,162910,6,스마트그리드(지능형전력망),원자력발전,전력설비,전력저장장치(ESS),코리아 밸류업 지수(Korea Value-up Index),태양광에너지,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-010120/
SK텔레콤,017670,+6.07%,108409,1479780,거래대금,108409,6,5G(5세대 이동통신),UAM(도심항공모빌리티),밸류업(24년 기업가치 제고계획 발표),자율주행차,코리아 밸류업 지수(Korea Value-up Index),통신,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-017670/
두산에너빌리티,034020,+7.19%,940449,9843507,거래대금,940449,5,원자력발전,원자력발전소 해체,전력설비,풍력에너지,핵융합에너지,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-034020/
현대차,005380,+2.25%,726961,1518143,거래대금,726961,5,UAM(도심항공모빌리티),밸류업(24년 기업가치 제고계획 발표),자율주행차,코리아 밸류업 지수(Korea Value-up Index),피지컬 AI/휴머노이드 로봇,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-005380/
NAVER,035420,+0.40%,358265,1426634,거래대금,358265,5,마이데이터,스테이블코인,음성인식,자율주행차,핀테크(FinTech),,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-035420/
현대건설,000720,+7.13%,254972,2217238,거래대금,254972,5,UAM(도심항공모빌리티),건설 대표주,원자력발전,원자력발전소 해체,풍력에너지,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000720/
그린광학,000150,+10.75%,222793,5317107,거래대금,222793,5,OLED(유기 발광 다이오드),반도체 장비,반도체 재료/부품,우주항공산업(누리호/인공위성 등),화장품,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000150/
대주전자재료,078600,+27.41%,201367,2290389,거래대금,201367,5,2차전지,2차전지(소재/부품),2차전지(전고체),MLCC(적층세라믹콘덴서),태양광에너지,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-078600/
POSCO홀딩스,005490,+1.11%,163473,449546,거래대금,163473,5,2차전지,2차전지(소재/부품),리튬,밸류업(24년 기업가치 제고계획 발표),풍력에너지,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-005490/
