종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,존재하는 테마9,차트링크
POSCO홀딩스,005490,+2.96%,584607,1511253,거래대금,584607,9,2차전지,2차전지(소재/부품),니켈,리튬,모듈러주택,밸류업(24년 기업가치 제고계획 발표),폐배터리,환율하락 수혜,희귀금속(희토류 등),https://kr.tradingview.com/symbols/KRX-005490/
LG에너지솔루션,373220,+4.59%,236608,582840,거래대금,236608,9,2차전지,2차전지(LFP/리튬인산철),2차전지(나트륨이온),2차전지(생산),2차전지(전고체),니켈,리튬,밸류업(24년 기업가치 제고계획 발표),폐배터리,https://kr.tradingview.com/symbols/KRX-373220/
LG화학,051910,+4.34%,192486,574681,거래대금,192486,9,2차전지,2차전지(소재/부품),니켈,리튬,밸류업(24년 기업가치 제고계획 발표),석유화학,아이폰,탄소나노튜브(CNT),폴더블폰,https://kr.tradingview.com/symbols/KRX-051910/
삼성전자,005930,+6.44%,7254085,41156377,거래대금,7254085,8,CXL(컴퓨트익스프레스링크),HBM(고대역폭메모리),반도체 대표주(생산),삼성페이,스마트홈(홈네트워크),아이폰,코리아 밸류업 지수(Korea Value-up Index),폴더블폰,,https://kr.tradingview.com/symbols/KRX-005930/
SK하이닉스,000660,+3.26%,3901280,4398647,거래대금,3901280,6,CXL(컴퓨트익스프레스링크),HBM(고대역폭메모리),반도체 대표주(생산),밸류업(24년 기업가치 제고계획 발표),아이폰,코리아 밸류업 지수(Korea Value-up Index),,,,https://kr.tradingview.com/symbols/KRX-000660/
현대차,005380,-0.59%,841370,1667732,거래대금,841370,6,메타버스(Metaverse),밸류업(24년 기업가치 제고계획 발표),수소차(연료전지/부품/충전소 등),전기차(충전소/충전기),코리아 밸류업 지수(Korea Value-up Index),폐배터리,,,,https://kr.tradingview.com/symbols/KRX-005380/
KB금융,105560,+2.43%,300693,1807434,거래대금,300693,6,밸류업(24년 기업가치 제고계획 발표),은행,인터넷은행,지주사,카카오뱅크(kakao BANK),코리아 밸류업 지수(Korea Value-up Index),,,,https://kr.tradingview.com/symbols/KRX-105560/
에코프로,086520,+1.97%,294707,1912779,거래대금,294707,6,2차전지,2차전지(나트륨이온),2차전지(소재/부품),리튬,지주사,폐배터리,,,,https://kr.tradingview.com/symbols/KRX-086520/
한국금융지주,071050,+8.83%,180652,727069,거래대금,180652,6,밸류업(25년 기업가치 제고계획 발표),인터넷은행,증권,지주사,카카오뱅크(kakao BANK),코리아 밸류업 지수(Korea Value-up Index),,,,https://kr.tradingview.com/symbols/KRX-071050/
우리금융지주,316140,+3.43%,151190,3891334,거래대금,151190,6,밸류업(24년 기업가치 제고계획 발표),밸류업(25년 기업가치 제고계획 발표),밸류업(26년 기업가치 제고계획 발표),은행,지주사,코리아 밸류업 지수(Korea Value-up Index),,,,https://kr.tradingview.com/symbols/KRX-316140/
한미반도체,042700,+9.97%,1238347,5790612,거래대금,1238347,5,HBM(고대역폭메모리),반도체 장비,밸류업(25년 기업가치 제고계획 발표),전자파,코리아 밸류업 지수(Korea Value-up Index),,,,,https://kr.tradingview.com/symbols/KRX-042700/
기아,000270,+2.78%,295295,1797165,거래대금,295295,5,방위산업/전쟁 및 테러,밸류업(24년 기업가치 제고계획 발표),수소차(연료전지/부품/충전소 등),전기차(충전소/충전기),코리아 밸류업 지수(Korea Value-up Index),,,,,https://kr.tradingview.com/symbols/KRX-000270/
삼성SDI,006400,+2.25%,244031,638957,거래대금,244031,5,2차전지,2차전지(나트륨이온),2차전지(생산),2차전지(전고체),아이폰,,,,,https://kr.tradingview.com/symbols/KRX-006400/
신한지주,055550,+5.05%,238247,2268330,거래대금,238247,5,밸류업(24년 기업가치 제고계획 발표),밸류업(25년 기업가치 제고계획 발표),은행,지주사,코리아 밸류업 지수(Korea Value-up Index),,,,,https://kr.tradingview.com/symbols/KRX-055550/
파미셀,005690,+16.13%,204273,12117216,거래대금,204273,5,모더나(MODERNA),줄기세포,코로나19(진단/치료제/백신 개발 등),코로나19(진단키트),화이자(PFIZER),,,,,https://kr.tradingview.com/symbols/KRX-005690/
포스코인터내셔널,047050,+6.65%,180927,2632754,거래대금,180927,5,니켈,밸류업(24년 기업가치 제고계획 발표),우크라이나 재건,종합상사,코리아 밸류업 지수(Korea Value-up Index),,,,,https://kr.tradingview.com/symbols/KRX-047050/
한화시스템,272210,+4.34%,173680,1665398,거래대금,173680,5,SI(시스템통합),드론(Drone),방위산업/전쟁 및 테러,밸류업(25년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,https://kr.tradingview.com/symbols/KRX-272210/
하나금융지주,086790,+3.34%,156929,1220731,거래대금,156929,5,밸류업(24년 기업가치 제고계획 발표),은행,지주사,코리아 밸류업 지수(Korea Value-up Index),토스(toss),,,,,https://kr.tradingview.com/symbols/KRX-086790/
SK,034730,+1.33%,101314,295415,거래대금,101314,5,SI(시스템통합),밸류업(24년 기업가치 제고계획 발표),수소차(연료전지/부품/충전소 등),전기차(충전소/충전기),지주사,,,,,https://kr.tradingview.com/symbols/KRX-034730/
두산,000150,+5.99%,259042,8640556,거래대금,259042,4,2025 하반기 신규상장,반도체 장비,방위산업/전쟁 및 테러,지주사,,,,,,https://kr.tradingview.com/symbols/KRX-000150/
한화에어로스페이스,012450,+0.09%,237431,210412,거래대금,237431,4,드론(Drone),방위산업/전쟁 및 테러,밸류업(25년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,https://kr.tradingview.com/symbols/KRX-012450/
삼성물산,028260,+5.53%,186935,576053,거래대금,186935,4,모듈러주택,종합상사,지주사,태양광에너지,,,,,,https://kr.tradingview.com/symbols/KRX-028260/
포스코퓨처엠,003670,+4.12%,143509,632915,거래대금,143509,4,2차전지,2차전지(소재/부품),리튬,밸류업(24년 기업가치 제고계획 발표),,,,,,https://kr.tradingview.com/symbols/KRX-003670/
한화비전,489790,+3.89%,141676,2252205,거래대금,141676,4,CCTV＆DVR,HBM(고대역폭메모리),반도체 장비,지주사,,,,,,https://kr.tradingview.com/symbols/KRX-489790/
한국항공우주,047810,+1.91%,137174,831709,거래대금,137174,4,드론(Drone),방위산업/전쟁 및 테러,밸류업(25년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,https://kr.tradingview.com/symbols/KRX-047810/
LS ELECTRIC,010120,+0.60%,111481,166299,거래대금,111481,4,수소차(연료전지/부품/충전소 등),초전도체,코리아 밸류업 지수(Korea Value-up Index),태양광에너지,,,,,,https://kr.tradingview.com/symbols/KRX-010120/
