종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,차트링크
두산에너빌리티,034020,-0.10%,1028604,10795773,거래대금,1028604,8,셰일가스(Shale Gas),수자원(양적/질적 개선),원자력발전,원자력발전소 해체,전력설비,풍력에너지,항공기부품,핵융합에너지,https://kr.tradingview.com/symbols/KRX-034020/
현대건설,000720,-0.28%,242587,2242366,거래대금,242587,8,2025 하반기 신규상장,GTX(수도권 광역급행철도),UAM(도심항공모빌리티),건설 대표주,네옴시티,원자력발전,원자력발전소 해체,풍력에너지,https://kr.tradingview.com/symbols/KRX-000720/
한국전력,015760,+16.16%,1190861,18881532,거래대금,1190861,7,LNG(액화천연가스),셰일가스(Shale Gas),원자력발전,전력설비,태양광에너지,풍력에너지,환율하락 수혜,,https://kr.tradingview.com/symbols/KRX-015760/
우리기술,032820,+29.97%,440540,58391829,거래대금,440540,6,방위산업/전쟁 및 테러,수자원(양적/질적 개선),원자력발전,원자력발전소 해체,철도,풍력에너지,,,https://kr.tradingview.com/symbols/KRX-032820/
카카오,035720,+4.24%,161843,2772592,거래대금,161843,6,UAM(도심항공모빌리티),가상화폐(비트코인 등),두나무(Dunamu),모바일콘텐츠(스마트폰/태블릿PC),인터넷 대표주,핀테크(FinTech),,,https://kr.tradingview.com/symbols/KRX-035720/
POSCO홀딩스,005490,+2.88%,317371,897663,거래대금,317371,5,LNG(액화천연가스),리튬,모듈러주택,풍력에너지,환율하락 수혜,,,,https://kr.tradingview.com/symbols/KRX-005490/
한화에어로스페이스,012450,-1.58%,292657,219761,거래대금,292657,5,UAM(도심항공모빌리티),드론(Drone),방위산업/전쟁 및 테러,우주항공산업(누리호/인공위성 등),항공기부품,,,,https://kr.tradingview.com/symbols/KRX-012450/
NAVER,035420,+2.52%,292516,1205310,거래대금,292516,5,마이데이터,모바일콘텐츠(스마트폰/태블릿PC),스테이블코인,인터넷 대표주,핀테크(FinTech),,,,https://kr.tradingview.com/symbols/KRX-035420/
한국항공우주,047810,+0.12%,197508,1188045,거래대금,197508,5,UAM(도심항공모빌리티),드론(Drone),방위산업/전쟁 및 테러,우주항공산업(누리호/인공위성 등),항공기부품,,,,https://kr.tradingview.com/symbols/KRX-047810/
삼성물산,028260,+2.42%,148863,501005,거래대금,148863,5,건설 대표주,네옴시티,모듈러주택,종합상사,태양광에너지,,,,https://kr.tradingview.com/symbols/KRX-028260/
