종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액,수급일자,기관순매수,외국인순매수
디젠스 *,764.0,-2.68%,196943.0,151.0,199721.0,113810,https://kr.tradingview.com/symbols/KRX-113810/,249억,2026.02.02,0,-7522
상신브레이크,2670.0,-2.73%,81714.0,219.0,48921.0,041650,https://kr.tradingview.com/symbols/KRX-041650/,573억,2026.02.02,652,-7957
DH오토리드 *,2660.0,-2.74%,50578.0,136.0,99421.0,290120,https://kr.tradingview.com/symbols/KRX-290120/,421억,2026.02.02,0,3757
아진산업 *,3355.0,-2.75%,523299.0,1773.0,530555.0,013310,https://kr.tradingview.com/symbols/KRX-013310/,"1,302억",2026.02.02,176,42065
LG이노텍,238000.0,-2.86%,258208.0,61975.0,335483.0,011070,https://kr.tradingview.com/symbols/KRX-011070/,"56,328억",2026.02.02,-28439,22979
영화금속,940.0,-2.89%,250688.0,237.0,308831.0,012280,https://kr.tradingview.com/symbols/KRX-012280/,486억,2026.02.02,-1838,-21123
현대모비스,436000.0,-2.90%,404323.0,178682.0,389855.0,012330,https://kr.tradingview.com/symbols/KRX-012330/,"395,594억",2026.02.02,-44447,66740
아진전자부품,1057.0,-3.03%,249132.0,266.0,189354.0,009320,https://kr.tradingview.com/symbols/KRX-009320/,521억,2026.02.02,15507,-30713
THE CUBE& *,879.0,-3.09%,592539.0,533.0,768166.0,013720,https://kr.tradingview.com/symbols/KRX-013720/,535억,2026.02.02,0,-22138
모베이스전자 *,4160.0,-3.14%,3038514.0,12672.0,4075006.0,012860,https://kr.tradingview.com/symbols/KRX-012860/,"3,047억",2026.02.02,0,16948
성창오토텍 *,4150.0,-3.15%,43522.0,182.0,25492.0,080470,https://kr.tradingview.com/symbols/KRX-080470/,303억,2026.02.02,-4861,5288
명신산업,8870.0,-3.17%,274838.0,2471.0,208622.0,009900,https://kr.tradingview.com/symbols/KRX-009900/,"4,654억",2026.02.02,7968,-46473
한일단조 *,2275.0,-3.19%,762151.0,1753.0,1615134.0,024740,https://kr.tradingview.com/symbols/KRX-024740/,748억,2026.02.02,0,27353
성우하이텍 *,7700.0,-3.39%,1269584.0,9988.0,1321448.0,015750,https://kr.tradingview.com/symbols/KRX-015750/,"6,160억",2026.02.02,-148222,203700
모트렉스 *,9350.0,-3.41%,304004.0,2886.0,432703.0,118990,https://kr.tradingview.com/symbols/KRX-118990/,"2,325억",2026.02.02,-1,53268
나라엠앤디 *,3945.0,-3.43%,107063.0,428.0,86210.0,051490,https://kr.tradingview.com/symbols/KRX-051490/,560억,2026.02.02,0,5948
화신,8970.0,-3.44%,333396.0,3019.0,310926.0,010690,https://kr.tradingview.com/symbols/KRX-010690/,"3,132억",2026.02.02,1065,-31325
파트론 *,6930.0,-3.48%,317447.0,2221.0,274774.0,091700,https://kr.tradingview.com/symbols/KRX-091700/,"3,812억",2026.02.02,-11251,-46897
덕우전자 *,4855.0,-3.48%,174914.0,869.0,91319.0,263600,https://kr.tradingview.com/symbols/KRX-263600/,773억,2026.02.02,14,30590
케이비아이동국실업,521.0,-3.52%,287191.0,152.0,257628.0,001620,https://kr.tradingview.com/symbols/KRX-001620/,580억,2026.02.02,3960,21894
우수AMS *,3040.0,-3.65%,455887.0,1421.0,650405.0,066590,https://kr.tradingview.com/symbols/KRX-066590/,"1,176억",2026.02.02,5788,93897
인화정공 *,41350.0,-3.73%,8254.0,348.0,11112.0,101930,https://kr.tradingview.com/symbols/KRX-101930/,"3,818억",2026.02.02,0,-4230
HL만도,61400.0,-3.76%,672677.0,41874.0,757744.0,204320,https://kr.tradingview.com/symbols/KRX-204320/,"28,832억",2026.02.02,-8343,108871
DN오토모티브,24200.0,-3.78%,147386.0,3596.0,245001.0,007340,https://kr.tradingview.com/symbols/KRX-007340/,"14,160억",2026.02.02,-13964,-22462
에스엠벡셀,2240.0,-3.86%,319868.0,728.0,640466.0,010580,https://kr.tradingview.com/symbols/KRX-010580/,"2,492억",2026.02.02,150,45728
우리산업 *,8440.0,-3.87%,58653.0,502.0,74518.0,215360,https://kr.tradingview.com/symbols/KRX-215360/,771억,2026.02.02,0,-8074
HDC현대EP,4410.0,-3.92%,86772.0,387.0,87539.0,089470,https://kr.tradingview.com/symbols/KRX-089470/,"1,407억",2026.02.02,-837,-6951
코리아에프티 *,7530.0,-3.95%,387117.0,2960.0,425138.0,123410,https://kr.tradingview.com/symbols/KRX-123410/,"2,096억",2026.02.02,-23224,72225
한국단자,71800.0,-4.01%,62518.0,4554.0,56147.0,025540,https://kr.tradingview.com/symbols/KRX-025540/,"7,263억",2026.02.02,-18299,18262
유니온머티리얼,1477.0,-4.09%,473288.0,706.0,530812.0,047400,https://kr.tradingview.com/symbols/KRX-047400/,620억,2026.02.02,107,51160
대성파인텍 *,720.0,-4.13%,381787.0,279.0,324331.0,104040,https://kr.tradingview.com/symbols/KRX-104040/,965억,2026.02.02,0,-168702
삼성공조,13070.0,-4.18%,89088.0,1181.0,89504.0,006660,https://kr.tradingview.com/symbols/KRX-006660/,"1,062억",2026.02.02,20,-28183
에스엘,52900.0,-4.34%,197575.0,10577.0,344214.0,005850,https://kr.tradingview.com/symbols/KRX-005850/,"24,571억",2026.02.02,-35352,68759
모티브링크 *,8450.0,-4.41%,112429.0,972.0,111961.0,463480,https://kr.tradingview.com/symbols/KRX-463480/,"1,047억",2026.02.02,0,10710
현대위아,81900.0,-4.43%,252954.0,21084.0,266295.0,011210,https://kr.tradingview.com/symbols/KRX-011210/,"22,273억",2026.02.02,-25858,26565
오리엔트정공 *,2265.0,-4.43%,607323.0,1406.0,740842.0,065500,https://kr.tradingview.com/symbols/KRX-065500/,719억,2026.02.02,0,-169968
인팩,8420.0,-4.64%,91525.0,791.0,130211.0,023810,https://kr.tradingview.com/symbols/KRX-023810/,842억,2026.02.02,-12,4413
계양전기,7980.0,-4.66%,1171333.0,9426.0,1476939.0,012200,https://kr.tradingview.com/symbols/KRX-012200/,"2,172억",2026.02.02,7988,-658
