종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,존재하는 테마9,존재하는 테마10,존재하는 테마11,존재하는 테마12,존재하는 테마13,존재하는 테마14,존재하는 테마15,차트링크
삼성전자,005930,+8.31%,3369435,21078132,거래대금,3369435,15,CXL(컴퓨트익스프레스링크),HBM(고대역폭메모리),IT 대표주,공기청정기,뉴로모픽 반도체,마이크로 LED,무선충전기술,반도체 대표주(생산),시스템반도체,아이폰,온디바이스 AI,자율주행차,코리아 밸류업 지수(Korea Value-up Index),폴더블폰,플렉서블 디스플레이,https://kr.tradingview.com/symbols/KRX-005930/
SK하이닉스,000660,+8.31%,3085706,3471992,거래대금,3085706,10,CXL(컴퓨트익스프레스링크),HBM(고대역폭메모리),IT 대표주,반도체 대표주(생산),밸류업(24년 기업가치 제고계획 발표),시스템반도체,아이폰,온디바이스 AI,자율주행차,코리아 밸류업 지수(Korea Value-up Index),,,,,,https://kr.tradingview.com/symbols/KRX-000660/
한화에어로스페이스,012450,+4.76%,168274,130321,거래대금,168274,8,UAM(도심항공모빌리티),냉각시스템(액침냉각 등),드론(Drone),방위산업/전쟁 및 테러,밸류업(25년 기업가치 제고계획 발표),우주항공산업(누리호/인공위성 등),코리아 밸류업 지수(Korea Value-up Index),항공기부품,,,,,,,,https://kr.tradingview.com/symbols/KRX-012450/
LS ELECTRIC,010120,+15.02%,223251,377944,거래대금,223251,7,스마트그리드(지능형전력망),스마트팩토리(스마트공장),원자력발전,전력설비,전력저장장치(ESS),초전도체,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,https://kr.tradingview.com/symbols/KRX-010120/
한국항공우주,047810,+2.94%,145081,879965,거래대금,145081,7,UAM(도심항공모빌리티),드론(Drone),방위산업/전쟁 및 테러,밸류업(25년 기업가치 제고계획 발표),우주항공산업(누리호/인공위성 등),코리아 밸류업 지수(Korea Value-up Index),항공기부품,,,,,,,,,https://kr.tradingview.com/symbols/KRX-047810/
현대건설,000720,+7.79%,101375,963948,거래대금,101375,7,UAM(도심항공모빌리티),건설 대표주,밸류업(25년 기업가치 제고계획 발표),우크라이나 재건,원자력발전,원자력발전소 해체,테마파크,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000720/
한화시스템,272210,+25.73%,1357251,12393513,거래대금,1357251,6,UAM(도심항공모빌리티),드론(Drone),방위산업/전쟁 및 테러,밸류업(25년 기업가치 제고계획 발표),우주항공산업(누리호/인공위성 등),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,https://kr.tradingview.com/symbols/KRX-272210/
삼성전기,009150,+7.95%,312429,1032944,거래대금,312429,6,PCB(FPCB 등),아이폰,온디바이스 AI,자율주행차,카메라모듈/부품,폴더블폰,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-009150/
두산에너빌리티,034020,+5.28%,315430,3519820,거래대금,315430,5,셰일가스(Shale Gas),원자력발전,원자력발전소 해체,전력설비,항공기부품,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-034020/
한미반도체,042700,+3.79%,235364,1214024,거래대금,235364,5,HBM(고대역폭메모리),반도체 장비,밸류업(25년 기업가치 제고계획 발표),시스템반도체,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-042700/
다날,064260,+6.84%,200066,20602357,거래대금,200066,5,STO(토큰증권 발행),모바일솔루션(스마트폰),스테이블코인,전자결제(전자화폐),핀테크(FinTech),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-064260/
한화비전,489790,+11.25%,126977,2014208,거래대금,126977,5,CCTV＆DVR,HBM(고대역폭메모리),반도체 장비,보안주(물리),지주사,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-489790/
현대차,005380,+3.14%,865766,1785140,거래대금,865766,4,UAM(도심항공모빌리티),밸류업(24년 기업가치 제고계획 발표),자율주행차,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-005380/
미래에셋증권,006800,+21.97%,716496,15132953,거래대금,716496,4,밸류업(24년 기업가치 제고계획 발표),스페이스X(SpaceX),증권,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-006800/
삼성SDI,006400,+4.49%,272544,736164,거래대금,272544,4,IT 대표주,아이폰,전기자전거,전력저장장치(ESS),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-006400/
삼미금속,012210,+19.26%,260837,14230741,거래대금,260837,4,건설기계,방위산업/전쟁 및 테러,원자력발전,조선기자재,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-012210/
효성중공업,298040,+5.35%,177139,74333,거래대금,177139,4,원자력발전,전력설비,전력저장장치(ESS),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-298040/
리노공업,058470,0.00%,163842,1711696,거래대금,163842,4,반도체 장비,시스템반도체,온디바이스 AI,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-058470/
기아,000270,+1.87%,136069,900498,거래대금,136069,4,방위산업/전쟁 및 테러,밸류업(24년 기업가치 제고계획 발표),자율주행차,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000270/
HD현대일렉트릭,267260,+6.82%,113598,128323,거래대금,113598,4,밸류업(24년 기업가치 제고계획 발표),전력설비,전력저장장치(ESS),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-267260/
한국전력,015760,+3.14%,106436,1808100,거래대금,106436,4,LNG(액화천연가스),셰일가스(Shale Gas),원자력발전,전력설비,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-015760/
헥토파이낸셜,234340,+20.18%,104682,4148676,거래대금,104682,4,STO(토큰증권 발행),스테이블코인,전자결제(전자화폐),핀테크(FinTech),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-234340/
SK스퀘어,402340,+7.92%,390769,730480,거래대금,390769,3,밸류업(24년 기업가치 제고계획 발표),밸류업(25년 기업가치 제고계획 발표),지주사,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-402340/
대한전선,001440,+15.38%,365955,12265095,거래대금,365955,3,원자력발전,전력설비,전선,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-001440/
NAVER,035420,+0.19%,355653,1326617,거래대금,355653,3,스테이블코인,자율주행차,핀테크(FinTech),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-035420/
미래에셋벤처투자,100790,+26.76%,296752,14130512,거래대금,296752,3,마켓컬리(kurly),스페이스X(SpaceX),창투사,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-100790/
아주IB투자,027360,+14.86%,202868,39272249,거래대금,202868,3,스페이스X(SpaceX),야놀자(Yanolja),창투사,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-027360/
HD건설기계,267270,+19.76%,136880,1152508,거래대금,136880,3,건설기계,밸류업(24년 기업가치 제고계획 발표),우크라이나 재건,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-267270/
현대로템,064350,+3.26%,120786,548826,거래대금,120786,3,방위산업/전쟁 및 테러,우주항공산업(누리호/인공위성 등),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-064350/
현대모비스,012330,+1.83%,108750,248930,거래대금,108750,3,밸류업(24년 기업가치 제고계획 발표),자율주행차,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-012330/
휴림로봇,090710,+0.56%,101920,7021058,거래대금,101920,3,3D 프린터,로봇(산업용/협동로봇 등),스마트팩토리(스마트공장),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-090710/
한화오션,042660,+5.76%,230166,1645037,거래대금,230166,2,방위산업/전쟁 및 테러,조선,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-042660/
삼표시멘트,038500,+29.95%,163397,12499516,거래대금,163397,2,부동산 보유 자산주,시멘트/레미콘,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-038500/
네오셈,253590,+26.61%,159882,9201229,거래대금,159882,2,CXL(컴퓨트익스프레스링크),반도체 장비,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-253590/
SK증권,001510,+9.31%,111980,114869619,거래대금,111980,2,STO(토큰증권 발행),증권,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-001510/
