종목명,종목코드,시가총액,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,존재하는 테마9,존재하는 테마10,존재하는 테마11,존재하는 테마12,존재하는 테마13,존재하는 테마14,존재하는 테마15,차트링크
NAVER,035420,,+8.35%,1322091,5034280,거래대금,1322091,15,AI 챗봇(챗GPT 등),NFT(대체불가토큰),SNS(소셜네트워크서비스),게임,마이데이터,메타버스(Metaverse),모바일게임(스마트폰),모바일콘텐츠(스마트폰/태블릿PC),블록체인,스테이블코인,웹툰,음성인식,인터넷 대표주,클라우드 컴퓨팅,핀테크(FinTech),https://kr.tradingview.com/symbols/KRX-035420/
카카오,035720,,+4.45%,435142,7214439,거래대금,435142,15,AI 챗봇(챗GPT 등),NFT(대체불가토큰),SNS(소셜네트워크서비스),가상화폐(비트코인 등),두나무(Dunamu),메타버스(Metaverse),모바일콘텐츠(스마트폰/태블릿PC),블록체인,웹툰,음성인식,음원/음반,인터넷 대표주,인터넷은행,카카오뱅크(kakao BANK),핀테크(FinTech),https://kr.tradingview.com/symbols/KRX-035720/
다날,064260,,+29.93%,494958,59546815,거래대금,494958,11,NFT(대체불가토큰),STO(토큰증권 발행),가상화폐(비트코인 등),모바일솔루션(스마트폰),모바일콘텐츠(스마트폰/태블릿PC),삼성페이,스테이블코인,음원/음반,전자결제(전자화폐),쿠팡(coupang),핀테크(FinTech),,,,,https://kr.tradingview.com/symbols/KRX-064260/
삼성전자,005930,,-0.13%,3867519,25195543,거래대금,3867519,5,NFT(대체불가토큰),RFID(NFC 등),고령화 사회(노인복지),마이크로 LED,삼성페이,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-005930/
NHN KCP,060250,,+29.94%,222434,12542936,거래대금,222434,5,삼성페이,스테이블코인,애플페이,전자결제(전자화폐),핀테크(FinTech),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-060250/
한미약품,128940,,+8.13%,136732,299191,거래대금,136732,5,mRNA(메신저 리보핵산),바이오시밀러(복제 바이오의약품),"백신/진단시약/방역(신종플루, AI 등)",비만치료제,제약업체,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-128940/
헥토파이낸셜,234340,,+30.00%,111704,6010868,거래대금,111704,5,STO(토큰증권 발행),스테이블코인,전자결제(전자화폐),쿠팡(coupang),핀테크(FinTech),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-234340/
카카오페이,377300,,+29.89%,788518,12516769,거래대금,788518,4,스테이블코인,전자결제(전자화폐),핀테크(FinTech),화폐/금융자동화기기(디지털화폐 등),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-377300/
리가켐바이오,141080,,+12.32%,126858,796368,거래대금,126858,4,면역항암제,슈퍼박테리아,코로나19(진단/치료제/백신 개발 등),코로나19(치료제/백신 개발 등),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-141080/
삼성물산,028260,,+2.69%,124940,408118,거래대금,124940,4,건설 대표주,네옴시티,자원개발,태양광에너지,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-028260/
KB금융,105560,,+0.67%,115800,857227,거래대금,115800,4,STO(토큰증권 발행),은행,인터넷은행,카카오뱅크(kakao BANK),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-105560/
삼천당제약,000250,,+13.74%,572135,1635420,거래대금,572135,3,바이오시밀러(복제 바이오의약품),비만치료제,제약업체,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000250/
현대건설,000720,,+5.00%,522450,4604938,거래대금,522450,3,GTX(수도권 광역급행철도),건설 대표주,네옴시티,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000720/
LG화학,051910,,+2.14%,187293,522716,거래대금,187293,3,고령화 사회(노인복지),바이오시밀러(복제 바이오의약품),비만치료제,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-051910/
