종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,차트링크
한국전력,015760,+5.38%,392921,6239564,거래대금,392921,7,LNG(액화천연가스),셰일가스(Shale Gas),원자력발전,전력설비,태양광에너지,풍력에너지,환율하락 수혜,https://kr.tradingview.com/symbols/KRX-015760/
POSCO홀딩스,005490,+1.82%,158947,439151,거래대금,158947,7,2차전지(소재/부품),LNG(액화천연가스),모듈러주택,밸류업(24년 기업가치 제고계획 발표),철강 주요종목,풍력에너지,환율하락 수혜,https://kr.tradingview.com/symbols/KRX-005490/
LS ELECTRIC,010120,+4.41%,193668,304501,거래대금,193668,6,수소차(연료전지/부품/충전소 등),스마트그리드(지능형전력망),원자력발전,전력설비,전력저장장치(ESS),태양광에너지,,https://kr.tradingview.com/symbols/KRX-010120/
LG에너지솔루션,373220,+2.94%,135101,337065,거래대금,135101,6,2차전지(LFP/리튬인산철),2차전지(나트륨이온),2차전지(생산),2차전지(전고체),밸류업(24년 기업가치 제고계획 발표),전력저장장치(ESS),,https://kr.tradingview.com/symbols/KRX-373220/
삼성전자,005930,+0.96%,4938100,29643711,거래대금,4938100,5,CXL(컴퓨트익스프레스링크),OLED(유기 발광 다이오드),뉴로모픽 반도체,스마트홈(홈네트워크),플렉서블 디스플레이,,,https://kr.tradingview.com/symbols/KRX-005930/
두산에너빌리티,034020,+5.81%,1184462,12423376,거래대금,1184462,5,셰일가스(Shale Gas),원자력발전,원자력발전소 해체,전력설비,풍력에너지,,,https://kr.tradingview.com/symbols/KRX-034020/
삼성SDI,006400,+4.54%,477610,1224189,거래대금,477610,5,2차전지(나트륨이온),2차전지(생산),2차전지(전고체),전기자전거,전력저장장치(ESS),,,https://kr.tradingview.com/symbols/KRX-006400/
효성중공업,298040,+0.72%,136382,57591,거래대금,136382,5,수소차(연료전지/부품/충전소 등),원자력발전,전력설비,전력저장장치(ESS),풍력에너지,,,https://kr.tradingview.com/symbols/KRX-298040/
삼성물산,028260,+0.48%,104440,329642,거래대금,104440,5,건설 대표주,모듈러주택,자원개발,지주사,태양광에너지,,,https://kr.tradingview.com/symbols/KRX-028260/
한화솔루션,009830,+29.95%,1056935,31440683,거래대금,1056935,4,日 수출 규제(국산화 등),석유화학,수소차(연료전지/부품/충전소 등),태양광에너지,,,,https://kr.tradingview.com/symbols/KRX-009830/
에코프로,086520,+3.53%,1011729,5710501,거래대금,1011729,4,2차전지(나트륨이온),2차전지(소재/부품),온실가스(탄소배출권)/탄소 포집·활용·저장(CCUS),지주사,,,,https://kr.tradingview.com/symbols/KRX-086520/
