종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액,수급일자,기관순매수,외국인순매수
네패스아크 *,19660.0,+8.62%,201502.0,3793.0,84496.0,330860,https://kr.tradingview.com/symbols/KRX-330860/,"2,395억",2026.02.03,-19999,14967
앤씨앤 *,635.0,+5.83%,235249.0,146.0,266902.0,092600,https://kr.tradingview.com/symbols/KRX-092600/,159억,2026.02.03,0,-21494
에이직랜드 *,33250.0,+3.10%,159103.0,5186.0,112925.0,445090,https://kr.tradingview.com/symbols/KRX-445090/,"3,633억",2026.02.03,68,25918
오픈엣지테크놀로지 *,15410.0,+2.73%,332942.0,5122.0,285296.0,394280,https://kr.tradingview.com/symbols/KRX-394280/,"3,399억",2026.02.03,11611,40334
자람테크놀로지 *,41800.0,+0.97%,94168.0,3903.0,93942.0,389020,https://kr.tradingview.com/symbols/KRX-389020/,"2,591억",2026.02.03,3148,25711
삼성전자,169100.0,+0.96%,29643674.0,4938093.0,36529813.0,005930,https://kr.tradingview.com/symbols/KRX-005930/,"1,001,108억",2026.02.03,3575465,4126708
네패스 *,18430.0,+0.66%,120213.0,2181.0,124459.0,033640,https://kr.tradingview.com/symbols/KRX-033640/,"4,250억",2026.02.03,72,-18295
