종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,존재하는 테마9,존재하는 테마10,존재하는 테마11,존재하는 테마12,존재하는 테마13,존재하는 테마14,차트링크
삼성전자,005930,0.00%,3106296,20285661,거래대금,3106296,14,3D 낸드(NAND),CXL(컴퓨트익스프레스링크),HBM(고대역폭메모리),LED,NFT(대체불가토큰),OLED(유기 발광 다이오드),고령화 사회(노인복지),뉴로모픽 반도체,삼성페이,시스템반도체,온디바이스 AI,의료기기,폴더블폰,플렉서블 디스플레이,https://kr.tradingview.com/symbols/KRX-005930/
다날,064260,+10.11%,946913,94950152,거래대금,946913,10,NFT(대체불가토큰),STO(토큰증권 발행),가상화폐(비트코인 등),모바일콘텐츠(스마트폰/태블릿PC),삼성페이,스테이블코인,음원/음반,전자결제(전자화폐),쿠팡(coupang),핀테크(FinTech),,,,,https://kr.tradingview.com/symbols/KRX-064260/
LG화학,051910,-2.37%,127901,367124,거래대금,127901,8,2차전지,2차전지(소재/부품),OLED(유기 발광 다이오드),고령화 사회(노인복지),리튬,바이오시밀러(복제 바이오의약품),비만치료제,폴더블폰,,,,,,,https://kr.tradingview.com/symbols/KRX-051910/
NAVER,035420,+2.44%,731103,2706664,거래대금,731103,7,NFT(대체불가토큰),게임,마이데이터,모바일게임(스마트폰),모바일콘텐츠(스마트폰/태블릿PC),스테이블코인,핀테크(FinTech),,,,,,,,https://kr.tradingview.com/symbols/KRX-035420/
LG에너지솔루션,373220,+0.97%,134168,323197,거래대금,134168,7,2차전지,2차전지(LFP/리튬인산철),2차전지(나트륨이온),2차전지(전고체),리튬,전력저장장치(ESS),폐배터리,,,,,,,,https://kr.tradingview.com/symbols/KRX-373220/
에코프로,086520,+22.95%,1775244,14466132,거래대금,1775244,6,2차전지,2차전지(나트륨이온),2차전지(소재/부품),리튬,온실가스(탄소배출권)/탄소 포집·활용·저장(CCUS),폐배터리,,,,,,,,,https://kr.tradingview.com/symbols/KRX-086520/
카카오,035720,+1.31%,254157,4143093,거래대금,254157,6,NFT(대체불가토큰),가상화폐(비트코인 등),두나무(Dunamu),모바일콘텐츠(스마트폰/태블릿PC),음원/음반,핀테크(FinTech),,,,,,,,,https://kr.tradingview.com/symbols/KRX-035720/
삼성전기,009150,+1.10%,190665,698696,거래대금,190665,6,2차전지(전고체),MLCC(적층세라믹콘덴서),PCB(FPCB 등),온디바이스 AI,유리 기판,폴더블폰,,,,,,,,,https://kr.tradingview.com/symbols/KRX-009150/
SK하이닉스,000660,-4.04%,2254405,3024618,거래대금,2254405,5,3D 낸드(NAND),CXL(컴퓨트익스프레스링크),HBM(고대역폭메모리),시스템반도체,온디바이스 AI,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000660/
삼성SDI,006400,+3.75%,615326,1608712,거래대금,615326,5,2차전지,2차전지(나트륨이온),2차전지(전고체),전기자전거,전력저장장치(ESS),,,,,,,,,,https://kr.tradingview.com/symbols/KRX-006400/
리가켐바이오,141080,+11.87%,290512,1588770,거래대금,290512,5,면역항암제,슈퍼박테리아,의료기기,코로나19(진단/치료제/백신 개발 등),코로나19(치료제/백신 개발 등),,,,,,,,,,https://kr.tradingview.com/symbols/KRX-141080/
