종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,존재하는 테마9,존재하는 테마10,존재하는 테마11,존재하는 테마12,존재하는 테마13,존재하는 테마14,존재하는 테마15,존재하는 테마16,차트링크
삼성전자,005930,+2.96%,4578747,31021284,거래대금,4578747,16,3D 낸드(NAND),4차산업 수혜주,5G(5세대 이동통신),CXL(컴퓨트익스프레스링크),IT 대표주,LED,OLED(유기 발광 다이오드),공기청정기,마이크로 LED,무선충전기술,반도체 대표주(생산),스마트홈(홈네트워크),자율주행차,제습기,코리아 밸류업 지수(Korea Value-up Index),플렉서블 디스플레이,https://kr.tradingview.com/symbols/KRX-005930/
LG전자,066570,+4.10%,269050,2536425,거래대금,269050,14,4차산업 수혜주,5G(5세대 이동통신),IT 대표주,LED,OLED(유기 발광 다이오드),공기청정기,마이크로 LED,무선충전기술,밸류업(24년 기업가치 제고계획 발표),스마트홈(홈네트워크),자율주행차,전기차,제습기,지능형로봇/인공지능(AI),,,https://kr.tradingview.com/symbols/KRX-066570/
현대차,005380,+14.61%,3987161,7707558,거래대금,3987161,8,UAM(도심항공모빌리티),밸류업(24년 기업가치 제고계획 발표),수소차(연료전지/부품/충전소 등),자동차 대표주,자율주행차,전기차,전기차(충전소/충전기),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,https://kr.tradingview.com/symbols/KRX-005380/
기아,000270,+5.00%,698384,4135690,거래대금,698384,8,방위산업/전쟁 및 테러,밸류업(24년 기업가치 제고계획 발표),수소차(연료전지/부품/충전소 등),자동차 대표주,자율주행차,전기차,전기차(충전소/충전기),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,https://kr.tradingview.com/symbols/KRX-000270/
SK하이닉스,000660,-0.40%,2789276,3755171,거래대금,2789276,7,3D 낸드(NAND),CXL(컴퓨트익스프레스링크),IT 대표주,반도체 대표주(생산),밸류업(24년 기업가치 제고계획 발표),자율주행차,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000660/
현대모비스,012330,+8.09%,570109,1202269,거래대금,570109,7,밸류업(24년 기업가치 제고계획 발표),스마트카(SMART CAR),자동차 대표주,자동차부품,자율주행차,전기차,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,https://kr.tradingview.com/symbols/KRX-012330/
한화에어로스페이스,012450,+0.46%,343618,264013,거래대금,343618,7,UAM(도심항공모빌리티),드론(Drone),방위산업/전쟁 및 테러,밸류업(25년 기업가치 제고계획 발표),우주항공산업(누리호/인공위성 등),지능형로봇/인공지능(AI),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,https://kr.tradingview.com/symbols/KRX-012450/
포스코DX,022100,+2.76%,312386,7256898,거래대금,312386,7,4차산업 수혜주,SI(시스템통합),스마트그리드(지능형전력망),스마트팩토리(스마트공장),스마트홈(홈네트워크),코리아 밸류업 지수(Korea Value-up Index),클라우드 컴퓨팅,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-022100/
한화시스템,272210,-1.88%,192240,2174761,거래대금,192240,7,SI(시스템통합),UAM(도심항공모빌리티),드론(Drone),방위산업/전쟁 및 테러,밸류업(25년 기업가치 제고계획 발표),우주항공산업(누리호/인공위성 등),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,https://kr.tradingview.com/symbols/KRX-272210/
LS ELECTRIC,010120,-3.62%,108516,215028,거래대금,108516,7,수소차(연료전지/부품/충전소 등),스마트그리드(지능형전력망),스마트팩토리(스마트공장),전기차,초전도체,코리아 밸류업 지수(Korea Value-up Index),태양광에너지,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-010120/
