종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,차트링크
대한전선,001440,-0.94%,127247,4057040,거래대금,127247,3,원자력발전,전력설비,전선,,,,,,https://kr.tradingview.com/symbols/KRX-001440/
오르비텍,046120,+15.00%,126360,20363791,거래대금,126360,3,원자력발전,원자력발전소 해체,항공기부품,,,,,,https://kr.tradingview.com/symbols/KRX-046120/
현대모비스,012330,-2.47%,117870,269181,거래대금,117870,3,밸류업(24년 기업가치 제고계획 발표),음성인식,코리아 밸류업 지수(Korea Value-up Index),,,,,,https://kr.tradingview.com/symbols/KRX-012330/
HD현대일렉트릭,267260,-1.76%,107427,112113,거래대금,107427,3,밸류업(24년 기업가치 제고계획 발표),전력설비,코리아 밸류업 지수(Korea Value-up Index),,,,,,https://kr.tradingview.com/symbols/KRX-267260/
SK이터닉스,475150,+23.76%,425849,15081323,거래대금,425849,2,고체산화물 연료전지(SOFC),풍력에너지,,,,,,,https://kr.tradingview.com/symbols/KRX-475150/
SK증권,001510,+29.95%,346086,298677428,거래대금,346086,2,STO(토큰증권 발행),증권,,,,,,,https://kr.tradingview.com/symbols/KRX-001510/
스피어,347700,+15.84%,265097,6218436,거래대금,265097,2,스페이스X(SpaceX),우주항공산업(누리호/인공위성 등),,,,,,,https://kr.tradingview.com/symbols/KRX-347700/
SK스퀘어,402340,-2.11%,260925,457489,거래대금,260925,2,밸류업(24년 기업가치 제고계획 발표),지주사,,,,,,,https://kr.tradingview.com/symbols/KRX-402340/
삼표시멘트,038500,+3.94%,245587,16835532,거래대금,245587,2,부동산 보유 자산주,시멘트/레미콘,,,,,,,https://kr.tradingview.com/symbols/KRX-038500/
한화생명,088350,+7.45%,200617,40571796,거래대금,200617,2,생명보험,야놀자(Yanolja),,,,,,,https://kr.tradingview.com/symbols/KRX-088350/
기아,000270,-1.32%,159971,971650,거래대금,159971,2,밸류업(24년 기업가치 제고계획 발표),코리아 밸류업 지수(Korea Value-up Index),,,,,,,https://kr.tradingview.com/symbols/KRX-000270/
HD현대중공업,329180,+0.74%,153068,280535,거래대금,153068,2,LNG(액화천연가스),밸류업(24년 기업가치 제고계획 발표),,,,,,,https://kr.tradingview.com/symbols/KRX-329180/
대우건설,047040,-5.19%,145449,19573271,거래대금,145449,2,GTX(수도권 광역급행철도),원자력발전,,,,,,,https://kr.tradingview.com/symbols/KRX-047040/
삼성화재,000810,-3.79%,139213,246505,거래대금,139213,2,손해보험,코리아 밸류업 지수(Korea Value-up Index),,,,,,,https://kr.tradingview.com/symbols/KRX-000810/
두산,000150,-3.19%,135238,808536,거래대금,135238,2,우주항공산업(누리호/인공위성 등),지주사,,,,,,,https://kr.tradingview.com/symbols/KRX-000150/
삼성증권,016360,+4.02%,128411,1264744,거래대금,128411,2,증권,코리아 밸류업 지수(Korea Value-up Index),,,,,,,https://kr.tradingview.com/symbols/KRX-016360/
LG에너지솔루션,373220,-3.66%,127814,321449,거래대금,127814,2,밸류업(24년 기업가치 제고계획 발표),스페이스X(SpaceX),,,,,,,https://kr.tradingview.com/symbols/KRX-373220/
비엘팜텍,065170,+29.90%,126725,27842839,거래대금,126725,2,마리화나(대마),자원개발,,,,,,,https://kr.tradingview.com/symbols/KRX-065170/
코데즈컴바인,047770,+10.01%,110977,24681123,거래대금,110977,2,日제품 불매운동(수혜),남북경협,,,,,,,https://kr.tradingview.com/symbols/KRX-047770/
보성파워텍,006910,-2.34%,107811,11585156,거래대금,107811,2,원자력발전,전력설비,,,,,,,https://kr.tradingview.com/symbols/KRX-006910/
