종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,존재하는 테마9,존재하는 테마10,존재하는 테마11,존재하는 테마12,존재하는 테마13,존재하는 테마14,존재하는 테마15,존재하는 테마16,존재하는 테마17,존재하는 테마18,존재하는 테마19,존재하는 테마20,차트링크
삼성전자,005930,+1.82%,4743562,29275189,거래대금,4743562,20,3D 낸드(NAND),4차산업 수혜주,5G(5세대 이동통신),CXL(컴퓨트익스프레스링크),HBM(고대역폭메모리),LED,OLED(유기 발광 다이오드),가상현실(VR),갤럭시 부품주,공기청정기,뉴로모픽 반도체,마이크로 LED,반도체 대표주(생산),스마트폰,시스템반도체,아이폰,온디바이스 AI,제습기,코리아 밸류업 지수(Korea Value-up Index),플렉서블 디스플레이,https://kr.tradingview.com/symbols/KRX-005930/
LG전자,066570,-1.38%,127780,1273383,거래대금,127780,12,4차산업 수혜주,5G(5세대 이동통신),LED,OLED(유기 발광 다이오드),가상현실(VR),공기청정기,냉각시스템(액침냉각 등),마이크로 LED,전기차,전력저장장치(ESS),제습기,지능형로봇/인공지능(AI),,,,,,,,,https://kr.tradingview.com/symbols/KRX-066570/
삼성SDI,006400,+2.32%,825603,2071072,거래대금,825603,10,2차전지,2차전지(나트륨이온),2차전지(생산),2차전지(전고체),리비안(RIVIAN),스마트폰,아이폰,전기자전거,전기차,전력저장장치(ESS),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-006400/
LG에너지솔루션,373220,+5.51%,637497,1462794,거래대금,637497,9,2차전지,2차전지(LFP/리튬인산철),2차전지(나트륨이온),2차전지(생산),2차전지(전고체),리튬,전기차,전력저장장치(ESS),폐배터리,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-373220/
SK이노베이션,096770,-2.96%,115950,1065781,거래대금,115950,9,2차전지,2차전지(LFP/리튬인산철),2차전지(생산),2차전지(전고체),냉각시스템(액침냉각 등),자원개발,전기차,전력저장장치(ESS),폐배터리,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-096770/
SK하이닉스,000660,+5.13%,5066414,6091399,거래대금,5066414,8,3D 낸드(NAND),CXL(컴퓨트익스프레스링크),HBM(고대역폭메모리),반도체 대표주(생산),시스템반도체,아이폰,온디바이스 AI,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000660/
LG화학,051910,+2.91%,162333,456693,거래대금,162333,8,2차전지,2차전지(소재/부품),OLED(유기 발광 다이오드),리튬,바이오시밀러(복제 바이오의약품),비만치료제,아이폰,전기차,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-051910/
에코프로,086520,+21.82%,2690657,16902593,거래대금,2690657,6,2차전지,2차전지(나트륨이온),2차전지(소재/부품),리튬,온실가스(탄소배출권)/탄소 포집·활용·저장(CCUS),폐배터리,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-086520/
한미반도체,042700,+4.12%,401355,2218515,거래대금,401355,6,HBM(고대역폭메모리),반도체 장비,밸류업(25년 기업가치 제고계획 발표),시스템반도체,전자파,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-042700/
삼성전기,009150,+1.08%,189153,678513,거래대금,189153,6,2차전지(전고체),PCB(FPCB 등),갤럭시 부품주,아이폰,온디바이스 AI,유리 기판,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-009150/
휴림로봇,090710,+4.99%,528258,33235818,거래대금,528258,5,3D 프린터,4차산업 수혜주,로봇(산업용/협동로봇 등),스마트팩토리(스마트공장),지능형로봇/인공지능(AI),,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-090710/
에스피지,058610,+24.28%,501371,3410397,거래대금,501371,5,가상현실(VR),공기청정기,로봇(산업용/협동로봇 등),전기자전거,제습기,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-058610/
이수페타시스,007660,+5.47%,275675,2207512,거래대금,275675,5,5G(5세대 이동통신),AI 챗봇(챗GPT 등),PCB(FPCB 등),밸류업(25년 기업가치 제고계획 발표),우주항공산업(누리호/인공위성 등),,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-007660/
LS ELECTRIC,010120,+6.52%,269540,482333,거래대금,269540,5,스마트팩토리(스마트공장),전기차,전력저장장치(ESS),코리아 밸류업 지수(Korea Value-up Index),태양광에너지,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-010120/
고영,098460,+5.95%,246578,7395675,거래대금,246578,5,HBM(고대역폭메모리),반도체 장비,스마트팩토리(스마트공장),시스템반도체,지능형로봇/인공지능(AI),,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-098460/
한화에어로스페이스,012450,+4.72%,231289,180905,거래대금,231289,5,냉각시스템(액침냉각 등),밸류업(25년 기업가치 제고계획 발표),우주항공산업(누리호/인공위성 등),지능형로봇/인공지능(AI),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-012450/
포스코DX,022100,+3.81%,118568,2898463,거래대금,118568,5,4차산업 수혜주,스마트팩토리(스마트공장),전력저장장치(ESS),코리아 밸류업 지수(Korea Value-up Index),황사/미세먼지,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-022100/
엔켐,348370,+16.29%,107385,1285587,거래대금,107385,5,2차전지,2차전지(소재/부품),리튬,전기차,전력저장장치(ESS),,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-348370/
현대차,005380,+0.82%,1248436,2514604,거래대금,1248436,4,자동차 대표주,전기차,코리아 밸류업 지수(Korea Value-up Index),폐배터리,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-005380/
POSCO홀딩스,005490,+5.15%,440021,1185336,거래대금,440021,4,2차전지,2차전지(소재/부품),리튬,폐배터리,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-005490/
한미약품,128940,+9.26%,236781,455823,거래대금,236781,4,바이오시밀러(복제 바이오의약품),밸류업(25년 기업가치 제고계획 발표),비만치료제,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-128940/
엘앤에프,066970,+7.47%,211430,1574509,거래대금,211430,4,2차전지,2차전지(LFP/리튬인산철),2차전지(소재/부품),전기차,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-066970/
하나마이크론,067310,+8.37%,203271,5959096,거래대금,203271,4,반도체 장비,반도체 재료/부품,밸류업(25년 기업가치 제고계획 발표),시스템반도체,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-067310/
태성,323280,+26.69%,175658,2617290,거래대금,175658,4,PCB(FPCB 등),온디바이스 AI,유리 기판,전기차 화재 방지(배터리 열폭주 등),,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-323280/
리노공업,058470,+4.32%,166034,1972865,거래대금,166034,4,반도체 장비,시스템반도체,온디바이스 AI,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-058470/
원익IPS,240810,+14.22%,148924,1507220,거래대금,148924,4,3D 낸드(NAND),OLED(유기 발광 다이오드),반도체 장비,태양광에너지,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-240810/
대덕전자,353200,+7.07%,118240,2178472,거래대금,118240,4,5G(5세대 이동통신),PCB(FPCB 등),스마트폰,온디바이스 AI,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-353200/
NAVER,035420,-1.42%,786064,2822531,거래대금,786064,3,4차산업 수혜주,AI 챗봇(챗GPT 등),게임,,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-035420/
에코프로비엠,247540,+7.26%,641616,2870049,거래대금,641616,3,2차전지,2차전지(나트륨이온),2차전지(소재/부품),,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-247540/
HPSP,403870,+17.18%,318517,7649541,거래대금,318517,3,반도체 장비,온디바이스 AI,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-403870/
기아,000270,-2.48%,266484,1754825,거래대금,266484,3,자동차 대표주,전기차,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000270/
현대모비스,012330,-2.83%,266017,586775,거래대금,266017,3,자동차 대표주,전기차,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-012330/
포스코퓨처엠,003670,+4.36%,228798,968994,거래대금,228798,3,2차전지,2차전지(소재/부품),리튬,,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-003670/
심텍,222800,+13.71%,203324,3531100,거래대금,203324,3,3D 낸드(NAND),PCB(FPCB 등),온디바이스 AI,,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-222800/
펩트론,087010,+10.28%,171754,558376,거래대금,171754,3,비만치료제,치매,코로나19(치료제/백신 개발 등),,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-087010/
리가켐바이오,141080,+4.98%,170296,851633,거래대금,170296,3,면역항암제,슈퍼박테리아,코로나19(치료제/백신 개발 등),,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-141080/
SK텔레콤,017670,-0.58%,148459,2159691,거래대금,148459,3,4차산업 수혜주,5G(5세대 이동통신),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-017670/
한국항공우주,047810,+1.71%,145544,886028,거래대금,145544,3,밸류업(25년 기업가치 제고계획 발표),우주항공산업(누리호/인공위성 등),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-047810/
파마리서치,214450,+4.89%,123420,240928,거래대금,123420,3,미용기기,보톡스(보툴리눔톡신),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-214450/
한화시스템,272210,+1.60%,111600,1266337,거래대금,111600,3,밸류업(25년 기업가치 제고계획 발표),우주항공산업(누리호/인공위성 등),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-272210/
동진쎄미켐,005290,+11.12%,104713,2279660,거래대금,104713,3,日 수출 규제(국산화 등),반도체 재료/부품,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-005290/
에이비엘바이오,298380,-0.82%,454616,1858051,거래대금,454616,2,면역항암제,치매,,,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-298380/
에코프로머티,450080,+15.30%,427631,5890650,거래대금,427631,2,2차전지,2차전지(소재/부품),,,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-450080/
로보티즈,108490,+5.86%,310379,1026041,거래대금,310379,2,로봇(산업용/협동로봇 등),지능형로봇/인공지능(AI),,,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-108490/
현대로템,064350,+5.44%,304801,1400214,거래대금,304801,2,우주항공산업(누리호/인공위성 등),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-064350/
셀트리온,068270,+3.31%,281444,1296733,거래대금,281444,2,바이오시밀러(복제 바이오의약품),밸류업(25년 기업가치 제고계획 발표),,,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-068270/
삼천당제약,000250,+5.52%,246173,570166,거래대금,246173,2,바이오시밀러(복제 바이오의약품),비만치료제,,,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000250/
현대무벡스,319400,+1.11%,185412,5764397,거래대금,185412,2,로봇(산업용/협동로봇 등),스마트팩토리(스마트공장),,,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-319400/
효성중공업,298040,+5.49%,185350,74340,거래대금,185350,2,전력저장장치(ESS),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-298040/
