종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,존재하는 테마9,존재하는 테마10,존재하는 테마11,존재하는 테마12,존재하는 테마13,차트링크
LG전자,066570,+22.98%,1584726,13160492,거래대금,1584726,13,5G(5세대 이동통신),IT 대표주,가상현실(VR),공기청정기,냉각시스템(액침냉각 등),마이크로 LED,무선충전기술,밸류업(24년 기업가치 제고계획 발표),스마트홈(홈네트워크),자율주행차,전기차,전력저장장치(ESS),제습기,https://kr.tradingview.com/symbols/KRX-066570/
삼성전자,005930,+1.21%,3695330,22247243,거래대금,3695330,11,5G(5세대 이동통신),IT 대표주,가상현실(VR),공기청정기,뉴로모픽 반도체,마이크로 LED,무선충전기술,스마트홈(홈네트워크),자율주행차,제습기,피지컬 AI/휴머노이드 로봇,,,https://kr.tradingview.com/symbols/KRX-005930/
현대건설,000720,+2.32%,151263,1322380,거래대금,151263,9,2025 하반기 신규상장,GTX(수도권 광역급행철도),건설 대표주,남북경협,우크라이나 재건,원자력발전,원자력발전소 해체,테마파크,풍력에너지,,,,,https://kr.tradingview.com/symbols/KRX-000720/
두산에너빌리티,034020,+1.49%,565224,5915111,거래대금,565224,7,셰일가스(Shale Gas),수자원(양적/질적 개선),원자력발전,원자력발전소 해체,전력설비,풍력에너지,핵융합에너지,,,,,,,https://kr.tradingview.com/symbols/KRX-034020/
기아,000270,+4.59%,259283,1622428,거래대금,259283,7,방위산업/전쟁 및 테러,밸류업(24년 기업가치 제고계획 발표),자동차 대표주,자율주행차,전기차,전기차(충전소/충전기),피지컬 AI/휴머노이드 로봇,,,,,,,https://kr.tradingview.com/symbols/KRX-000270/
LS ELECTRIC,010120,+4.71%,113746,171771,거래대금,113746,7,스마트그리드(지능형전력망),원자력발전,전기차,전력설비,전력저장장치(ESS),초전도체,태양광에너지,,,,,,,https://kr.tradingview.com/symbols/KRX-010120/
현대차,005380,+5.93%,1633913,3259650,거래대금,1633913,6,밸류업(24년 기업가치 제고계획 발표),자동차 대표주,자율주행차,전기차,전기차(충전소/충전기),피지컬 AI/휴머노이드 로봇,,,,,,,,https://kr.tradingview.com/symbols/KRX-005380/
현대모비스,012330,+2.06%,137992,312230,거래대금,137992,6,밸류업(24년 기업가치 제고계획 발표),음성인식,자동차 대표주,자율주행차,전기차,피지컬 AI/휴머노이드 로봇,,,,,,,,https://kr.tradingview.com/symbols/KRX-012330/
한국전력,015760,+0.33%,109731,1790091,거래대금,109731,6,남북경협,셰일가스(Shale Gas),원자력발전,전력설비,태양광에너지,풍력에너지,,,,,,,,https://kr.tradingview.com/symbols/KRX-015760/
우리기술,032820,+30.00%,577666,48619169,거래대금,577666,5,방위산업/전쟁 및 테러,수자원(양적/질적 개선),원자력발전,원자력발전소 해체,풍력에너지,,,,,,,,,https://kr.tradingview.com/symbols/KRX-032820/
NAVER,035420,+1.38%,291914,1133876,거래대금,291914,4,웹툰,음성인식,인터넷 대표주,자율주행차,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-035420/
한전산업,130660,+19.24%,220691,10355204,거래대금,220691,4,스마트그리드(지능형전력망),원자력발전,전력설비,전력저장장치(ESS),,,,,,,,,,https://kr.tradingview.com/symbols/KRX-130660/
