종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,존재하는 테마9,차트링크
삼성전자,005930,-1.05%,5776022,35771892,거래대금,5776022,9,3D 낸드(NAND),5G(5세대 이동통신),NFT(대체불가토큰),갤럭시 부품주,고령화 사회(노인복지),뉴로모픽 반도체,시스템반도체,코리아 밸류업 지수(Korea Value-up Index),폴더블폰,https://kr.tradingview.com/symbols/KRX-005930/
한화에어로스페이스,012450,+0.93%,293871,226680,거래대금,293871,7,UAM(도심항공모빌리티),드론(Drone),방위산업/전쟁 및 테러,밸류업(25년 기업가치 제고계획 발표),우주항공산업(누리호/인공위성 등),코리아 밸류업 지수(Korea Value-up Index),항공기부품,,,https://kr.tradingview.com/symbols/KRX-012450/
한국항공우주,047810,+1.26%,162765,977458,거래대금,162765,7,UAM(도심항공모빌리티),드론(Drone),방위산업/전쟁 및 테러,밸류업(25년 기업가치 제고계획 발표),우주항공산업(누리호/인공위성 등),코리아 밸류업 지수(Korea Value-up Index),항공기부품,,,https://kr.tradingview.com/symbols/KRX-047810/
다날,064260,+3.67%,151573,16408744,거래대금,151573,7,NFT(대체불가토큰),STO(토큰증권 발행),가상화폐(비트코인 등),스테이블코인,전자결제(전자화폐),쿠팡(coupang),핀테크(FinTech),,,https://kr.tradingview.com/symbols/KRX-064260/
SK이노베이션,096770,+4.90%,101857,918626,거래대금,101857,7,2차전지,LPG(액화석유가스),밸류업(24년 기업가치 제고계획 발표),윤활유,전기차,전력저장장치(ESS),정유,,,https://kr.tradingview.com/symbols/KRX-096770/
두산에너빌리티,034020,+2.17%,959147,10180257,거래대금,959147,6,셰일가스(Shale Gas),원자력발전,원자력발전소 해체,풍력에너지,항공기부품,핵융합에너지,,,,https://kr.tradingview.com/symbols/KRX-034020/
NAVER,035420,+3.42%,796856,2810113,거래대금,796856,6,NFT(대체불가토큰),게임,마이데이터,모바일게임(스마트폰),스테이블코인,핀테크(FinTech),,,,https://kr.tradingview.com/symbols/KRX-035420/
LG에너지솔루션,373220,-3.36%,295967,708586,거래대금,295967,6,2차전지,2차전지(나트륨이온),밸류업(24년 기업가치 제고계획 발표),스페이스X(SpaceX),전기차,전력저장장치(ESS),,,,https://kr.tradingview.com/symbols/KRX-373220/
한화시스템,272210,+4.27%,277561,3059782,거래대금,277561,6,UAM(도심항공모빌리티),드론(Drone),방위산업/전쟁 및 테러,밸류업(25년 기업가치 제고계획 발표),우주항공산업(누리호/인공위성 등),코리아 밸류업 지수(Korea Value-up Index),,,,https://kr.tradingview.com/symbols/KRX-272210/
켄코아에어로스페이스,274090,+23.86%,229942,8005069,거래대금,229942,6,UAM(도심항공모빌리티),드론(Drone),방위산업/전쟁 및 테러,스페이스X(SpaceX),우주항공산업(누리호/인공위성 등),항공기부품,,,,https://kr.tradingview.com/symbols/KRX-274090/
LG화학,051910,-3.11%,148768,434826,거래대금,148768,6,2차전지,2차전지(소재/부품),고령화 사회(노인복지),밸류업(24년 기업가치 제고계획 발표),전기차,폴더블폰,,,,https://kr.tradingview.com/symbols/KRX-051910/
한화투자증권,003530,+8.54%,118037,18382171,거래대금,118037,6,STO(토큰증권 발행),가상화폐(비트코인 등),두나무(Dunamu),야놀자(Yanolja),증권,토스(toss),,,,https://kr.tradingview.com/symbols/KRX-003530/
