종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,존재하는 테마9,존재하는 테마10,존재하는 테마11,존재하는 테마12,존재하는 테마13,존재하는 테마14,차트링크
삼성전자,005930,-0.12%,6343786,39013626,거래대금,6343786,14,3D 낸드(NAND),CXL(컴퓨트익스프레스링크),HBM(고대역폭메모리),IT 대표주,OLED(유기 발광 다이오드),RFID(NFC 등),공기청정기,반도체 대표주(생산),스마트폰,시스템반도체,아이폰,온디바이스 AI,코리아 밸류업 지수(Korea Value-up Index),폴더블폰,https://kr.tradingview.com/symbols/KRX-005930/
SK하이닉스,000660,+5.57%,6824702,7528967,거래대금,6824702,10,3D 낸드(NAND),CXL(컴퓨트익스프레스링크),HBM(고대역폭메모리),IT 대표주,반도체 대표주(생산),밸류업(24년 기업가치 제고계획 발표),시스템반도체,아이폰,온디바이스 AI,코리아 밸류업 지수(Korea Value-up Index),,,,,https://kr.tradingview.com/symbols/KRX-000660/
SK,034730,+2.93%,121284,367221,거래대금,121284,7,RFID(NFC 등),냉각시스템(액침냉각 등),밸류업(24년 기업가치 제고계획 발표),블록체인,수소차(연료전지/부품/충전소 등),조림사업,지주사,,,,,,,,https://kr.tradingview.com/symbols/KRX-034730/
그린광학,000150,+3.09%,107623,1705264,거래대금,107623,7,2025 하반기 신규상장,OLED(유기 발광 다이오드),반도체 장비,반도체 재료/부품,방위산업/전쟁 및 테러,우주항공산업(누리호/인공위성 등),지주사,,,,,,,,https://kr.tradingview.com/symbols/KRX-000150/
한미반도체,042700,+3.69%,918293,4364912,거래대금,918293,6,HBM(고대역폭메모리),반도체 장비,밸류업(25년 기업가치 제고계획 발표),시스템반도체,전자파,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,https://kr.tradingview.com/symbols/KRX-042700/
한화에어로스페이스,012450,0.00%,322009,247057,거래대금,322009,5,냉각시스템(액침냉각 등),방위산업/전쟁 및 테러,밸류업(25년 기업가치 제고계획 발표),우주항공산업(누리호/인공위성 등),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,https://kr.tradingview.com/symbols/KRX-012450/
삼성전기,009150,-0.18%,199060,711202,거래대금,199060,5,PCB(FPCB 등),아이폰,온디바이스 AI,카메라모듈/부품,폴더블폰,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-009150/
LG전자,066570,-1.78%,113498,1136020,거래대금,113498,5,IT 대표주,OLED(유기 발광 다이오드),공기청정기,냉각시스템(액침냉각 등),밸류업(24년 기업가치 제고계획 발표),,,,,,,,,,https://kr.tradingview.com/symbols/KRX-066570/
SK스퀘어,402340,+7.34%,494944,884451,거래대금,494944,4,RFID(NFC 등),밸류업(24년 기업가치 제고계획 발표),밸류업(25년 기업가치 제고계획 발표),지주사,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-402340/
현대로템,064350,+1.77%,482752,2134719,거래대금,482752,4,방위산업/전쟁 및 테러,수소차(연료전지/부품/충전소 등),우주항공산업(누리호/인공위성 등),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-064350/
한화시스템,272210,+1.51%,364178,3805684,거래대금,364178,4,방위산업/전쟁 및 테러,밸류업(25년 기업가치 제고계획 발표),우주항공산업(누리호/인공위성 등),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-272210/
리노공업,058470,+14.98%,330013,3108007,거래대금,330013,4,반도체 장비,시스템반도체,온디바이스 AI,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-058470/
LG화학,051910,-9.48%,309773,962994,거래대금,309773,4,OLED(유기 발광 다이오드),밸류업(24년 기업가치 제고계획 발표),아이폰,폴더블폰,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-051910/
기아,000270,-1.48%,240403,1562062,거래대금,240403,4,방위산업/전쟁 및 테러,밸류업(24년 기업가치 제고계획 발표),수소차(연료전지/부품/충전소 등),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000270/
한국항공우주,047810,-0.36%,181978,1077920,거래대금,181978,4,방위산업/전쟁 및 테러,밸류업(25년 기업가치 제고계획 발표),우주항공산업(누리호/인공위성 등),코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-047810/
삼미금속,012210,+20.12%,181958,13267886,거래대금,181958,4,2025 하반기 신규상장,건설기계,방위산업/전쟁 및 테러,조선기자재,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-012210/
SK텔레콤,017670,+4.32%,176809,2411122,거래대금,176809,4,밸류업(24년 기업가치 제고계획 발표),블록체인,코리아 밸류업 지수(Korea Value-up Index),통신,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-017670/
삼성물산,028260,-0.50%,148942,493809,거래대금,148942,4,자원개발,종합상사,지주사,패션/의류,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-028260/
신한지주,055550,-0.94%,140195,1651115,거래대금,140195,4,밸류업(24년 기업가치 제고계획 발표),밸류업(25년 기업가치 제고계획 발표),지주사,코리아 밸류업 지수(Korea Value-up Index),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-055550/
하나마이크론,067310,+2.72%,126604,3312608,거래대금,126604,4,반도체 장비,반도체 재료/부품,밸류업(25년 기업가치 제고계획 발표),시스템반도체,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-067310/
